Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID
1,,C_Small-Device-ISM02A-rescue,C6,100nF,C_0805_2012Metric,1, ,,C0805_100n 5c70984712875079b91f8b4c
2,,C_Small-Device-ISM02A-rescue,C2 C5,1uF,C_0805_2012Metric,2, ,,5c70984712875079b91f8b50
3,"Unpolarized capacitor, small symbol",C_Small,C4,2.2uF,C_0805_2012Metric,1, ,,5c70984712875079b91f8b51
4,"Unpolarized capacitor, small symbol",C_Small,C1,10uF,C_0805_2012Metric,1, ,,5c70984812875079b91f8bbe
5,,C_Small-Device-ISM02A-rescue,C3,10uF,C_0805_2012Metric,1, ,,5c70984812875079b91f8bbe
6,"Schottky diode, small symbol",D_Schottky_Small,D1,1A 20V 15MQ040N,D_SMA,1, ,,5c70984512875079b91f88b0
7,,D_ZENER-MLAB_D,D2,"BZV55C-3,6V",D_MiniMELF,1, ,,5c70984512875079b91f88b1
8,"OLED display, 128x64 px",EA_OLEDM128-6,DISP1,"EA OLEDM128-6GGA, Precision socket",EA_OLEDM128-6GGA,1, ,https://cz.mouser.com/datasheet/2/127/oledm128_6e-1388684.pdf,628e008ddc56076e9a2237a2
9,1x03 2.54 mm pitch header,HEADER_1x03,J3,HEADER_1x03,Straight_1x03,1, ,,
10,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,HEADER_2x03_PARALLEL,Straight_2x03,1, ,,
11,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J2,HEADER_2x04_PARALLEL,Straight_2x04,1, ,,
12,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J4,HEADER_2x05_PARALLEL,Straight_2x05,1, ,,
13,"Inductor, small symbol",L_Small,L1,4.7uH,L_Bourns_SRN6045TA,1, ,,5c70984412875079b91f8828
14,"Resistor, small symbol",R_Small,R1 R2 R3 R4 R10 R11 R12,0R,R_0805_2012Metric,7, ,,5c70984512875079b91f896b
15,"Resistor, small symbol",R_Small,R8,100R,R_0805_2012Metric,1, ,,5c70984512875079b91f8977
16,"Resistor, small symbol",R_Small,R6,8k2,R_0805_2012Metric,1, ,,5c70984612875079b91f899c
17,"Resistor, small symbol",R_Small,R9 R13 R14,10k,R_0805_2012Metric,3, ,,5c70984612875079b91f899f
18,"Resistor, small symbol",R_Small,R5,73k2,R_0805_2012Metric,1, ,,5cee6226128750448edc1fab
19,"Resistor, small symbol",R_Small,R7,910k,R_0805_2012Metric,1, ,,628e00e9dc56076e9a2237ce
20,,MAX5026,U1,MAX5026,TSOT-23-6,1, ,,5c70984712875079b91f8b7c





Project info:
Schematic:,OLED01A
Variant:,default
Revision:,
Date:,2022-05-11
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,20
Component Count:,29
Fitted Components:,29
Number of PCBs:,1
Total Components:,29
