Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,arrow part number,arrow price/stock,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,"Buzzer, polarized",Buzzer,BZ1,LET9032ES-03L-2.7-16-R,MagneticBuzzer_LET9032ES-03L-2.7-16-R,1,~,5fa0f13812875025b3977890,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1,22nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4a,,,,,,
3,,C_Small-Device-ISM02A-rescue,C9,100nF,C_0805_2012Metric,1,,5c70984712875079b91f8b4c,,,,,,
4,,C_Small-Device-ISM02A-rescue,C10C11,1uF,C_0805_2012Metric,2,,5c70984712875079b91f8b50,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C3C6,1uF,C_0805_2012Metric,2,~,,,,,,,
6,"Unpolarized capacitor, small symbol",C_Small,C2,2.2uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b51,,,,,,
7,Unpolarized capacitor,C,C12,10uF,R_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,,,,,
8,"Unpolarized capacitor, small symbol",C_Small,C4C5C7,10uF,C_0805_2012Metric,3,~,5c70984812875079b91f8bbe,,,,,,
9,,C_Small-Device-ISM02A-rescue,C8,10uF,C_0805_2012Metric,1,,5c70984812875079b91f8bbe,,,,,,
10,"Schottky diode, small symbol",D_Schottky_Small,D1,1A 20V 15MQ040N,D_SMA,1,~,5c70984512875079b91f88b0,,,,,,
11,,D_ZENER-MLAB_D,D2,"BZV55C-5,6V",D_MiniMELF,1,,5c70984512875079b91f88b2,,,,,,
12,Light emitting diode,LED,D5,KPTR-3216CGCK,LED_1206_2,1,~,5c70984512875079b91f8898,,,,,,
13,Light emitting diode,LED,D4,KPTR-3216SURCK,LED_1206_2,1,~,5c70984512875079b91f8898,,,,,,
14,Diode,D,D3,M4,D_SMA,1,~,5c70984512875079b91f88ac,,,,,,
15,"OLED display, 128x64 px",EA_OLEDM128-6,DISP1,"EA OLEDM128-6GGA, Precision socket",EA_OLEDM128-6GGA,1,https://cz.mouser.com/datasheet/2/127/oledm128_6e-1388684.pdf,628e008ddc56076e9a2237a2,,,,,,
16,"Generic shielded connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Shielded,J4,Conn_01x04_Shielded,EA_WF100-04S,1,~,,,,,,,
17,1x03 2.54 mm pitch header,HEADER_1x03,J5,HEADER_1x03,Straight_1x03,1,,,,,,,,
