Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"DISP1","EA OLEDM128-6GGA, Precision socket","EA_OLEDM128-6GGA",25.4000,29.9000,0.0000,top
"H1","M3","MountingHole_3mm",0.0000,61.0000,0.0000,top
"H2","M3","MountingHole_3mm",50.8000,61.0000,0.0000,top
"H3","M3","MountingHole_3mm",50.8000,0.0000,0.0000,top
"H4","M3","MountingHole_3mm",0.0000,0.0000,0.0000,top
"J1","HEADER_2x03_PARALLEL","Straight_2x03",8.4000,60.9000,-90.0000,top
"J2","HEADER_2x03_PARALLEL","Straight_2x03",27.2000,60.9000,-90.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x02",15.7500,60.9000,-90.0000,top
"J5","HEADER_1x03","Straight_1x03",21.1000,59.7000,180.0000,top
"J6","HEADER_2x05_PARALLEL","Straight_2x05",38.6000,60.9000,90.0000,top
