Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22nF","C_0805_2012Metric",36.8000,44.9000,-90.0000,bottom
"C2","2.2uF","C_0805_2012Metric",7.7000,48.8000,180.0000,bottom
"C3","1uF","C_0805_2012Metric",32.0000,35.6000,-90.0000,bottom
"C4","10uF","C_0805_2012Metric",32.0000,39.3000,90.0000,bottom
"C5","10uF","C_0805_2012Metric",15.5000,30.2375,-90.0000,bottom
"C6","1uF","C_0805_2012Metric",40.2500,40.3000,0.0000,bottom
"C7","10uF","C_0805_2012Metric",40.2500,42.5000,0.0000,bottom
"C8","10uF","C_0805_2012Metric",30.4500,57.2000,0.0000,bottom
"C9","100nF","C_0805_2012Metric",50.0000,55.0000,-90.0000,bottom
"C10","1uF","C_0805_2012Metric",0.0000,32.2375,90.0000,bottom
"C11","1uF","C_0805_2012Metric",0.0000,35.8000,-90.0000,bottom
"C12","10uF","R_0805_2012Metric",18.9000,18.4000,0.0000,bottom
"D1","1A 20V 15MQ040N","D_SMA",3.0000,30.4000,-90.0000,bottom
"D2","BZV55C-5,6V","D_MiniMELF",25.9500,57.0500,180.0000,bottom
"D3","M4","D_SMA",19.0750,15.5250,180.0000,bottom
"D4","KPTR-3216SURCK","LED_1206_2",24.4125,0.1800,90.0000,bottom
"D5","KPTR-3216CGCK","LED_1206_2",28.8250,0.2750,90.0000,bottom
"J4","Conn_01x04_Shielded","EA_WF100-04S",25.4000,43.3000,0.0000,bottom
"L1","4.7uH","L_Bourns_SRN6045TA",10.6000,28.7000,180.0000,bottom
"Q1","BC817-25","SOT-23",24.4125,6.2750,-90.0000,bottom
"Q2","BC817-25","SOT-23",20.0750,6.2750,-90.0000,bottom
"Q3","BC817-25","SOT-23",28.8250,6.2750,-90.0000,bottom
"R1","910k","R_0805_2012Metric",10.1375,54.0000,180.0000,bottom
"R3","33R","R_0805_2012Metric",9.9000,45.7000,90.0000,bottom
"R6","10k","R_0805_2012Metric",33.8625,47.7000,0.0000,bottom
"R7","73k2","R_0805_2012Metric",5.8000,33.4000,90.0000,bottom
"R8","8k2","R_0805_2012Metric",5.8000,36.7625,90.0000,bottom
"R9","100R","R_0805_2012Metric",2.4000,35.7375,90.0000,bottom
"R13","10k","R_0805_2012Metric",44.0000,54.3000,180.0000,bottom
"R14","10k","R_0805_2012Metric",44.0000,56.5500,180.0000,bottom
"R15","20k","R_0805_2012Metric",24.0000,12.0875,-90.0000,bottom
"R16","R","R_0805_2012Metric",20.5750,-1.2250,-90.0000,bottom
"R17","220R","R_0805_2012Metric",19.9875,11.5250,180.0000,bottom
"R18","20k","R_0805_2012Metric",27.4000,12.1000,-90.0000,bottom
"R19"," R","R_0805_2012Metric",18.3250,-1.2250,-90.0000,bottom
"R20","10k","R_0805_2012Metric",32.4000,54.3000,-90.0000,bottom
"R21","10k","R_0805_2012Metric",30.4000,54.3000,-90.0000,bottom
"R22","200k","R_0805_2012Metric",47.8000,54.9875,-90.0000,bottom
"U1","TLV840CADL14DBVR","SOT-23-5",33.9000,44.5000,-90.0000,bottom
"U2","MIC5504-2.5YM5","SOT-23-5",35.7625,39.0500,0.0000,bottom
"U3","MAX5026","TSOT-23-6",11.9503,34.6236,-90.0000,bottom
"U4","TSC2007IPWG4","SOP65P640X120-16N",14.1250,45.1620,90.0000,bottom
"U5","PCA9306DP","TSSOP-8_3x3mm_P0.65mm",38.4000,55.3500,0.0000,bottom
